"WR","Overall","Player","Team","Bye","MFL","Fantrax","FFC","Sleeper","AVG"
"173","409","Dezmon Patmon","IND","14","","130","","","130.0"
"174","411","Rodney Adams","CHI","10","","131","","","131.0"
"175","","Bryce Treggs","","","","132","132.0"
"176","415","Demetric Felton","CLE","13","","132","","","132.0"
"177","416","Cornell Powell","KC","12","","133","","","133.0"
"178","","Landen Akers","LAR","11","","","","133","133.0"
"179","","Deontay Burnett","","","","134","134.0"
"180","","Dalton Schoen","","","","135","135.0"
"181","","Devin Fuller","","","","136","136.0"
"182","","Connor Wedington","SF","6","","","","137","137.0"
"183","","Jake Kumerow","BUF","7","","","","138","138.0"
"184","","Cobi Hamilton","","","","139","139.0"
"185","","Shelton Gibson","CAR","13","","","","141","141.0"
"186","","Josh Imatorbhebhe","","","","142","142.0"
"187","","Eli Stove","","","","143","143.0"
"188","","Drew Morgan","","","","144","144.0"
"189","","Josh Gordon","KC","12","","","","145","145.0"
"190","","TJ Jones","","","","146","146.0"
"191","","Davon Grayson","","","","147","147.0"
"192","","Larry Pinkard","","","","149","149.0"
"193","","Laquon Treadwell","JAC","7","","","","150","150.0"
"194","","Freddie Swain","SEA","9","","","","151","151.0"
"195","","Alshon Jeffery","","","","154","154.0"
"196","","Jeff Thomas","","","","155","155.0"
"197","","Mohamed Sanu Sr.","SF","6","","","","156","156.0"
"198","","James Proche II","BAL","8","","","","157","157.0"
"199","","Tyre Brady","","","","158","158.0"
"200","","Aaron Parker","CAR","13","","","","159","159.0"
"201","","Michael Dereus","","","","160","160.0"
"202","","Jehu Chesson","","","","161","161.0"
"203","","K.J. Osborn","MIN","7","","","","162","162.0"
"204","","Gehrig Dieter","KC","12","","","","163","163.0"
"205","","Geremy Davis","","","","164","164.0"
"206","","T.J. Simmons","","","","165","165.0"
"207","","Cade Johnson","SEA","9","","","","166","166.0"
"208","","Jaron Brown","ARI","12","","","","167","167.0"
"209","","Zimari Manning","","","","168","168.0"
"210","","Floyd Allen","","","","169","169.0"
"211","","Riley Ridley","","","","170","170.0"
"212","","Justin Hunter","","","","171","171.0"
"213","","Travis Toivonen","","","","172","172.0"
"214","","Brandon Powell","LAR","11","","","","173","173.0"
"215","","Marken Michel","WAS","9","","","","174","174.0"
"216","","Kenny Cook","","","","175","175.0"
"217","","Isaiah McKoy","IND","14","","","","176","176.0"
"218","","Quez Watkins","PHI","14","","","","177","177.0"
"219","","Brice Butler","","","","178","178.0"
"220","","Kendall Wright","","","","180","180.0"
"221","","DeMichael Harris","IND","14","","","","181","181.0"
"222","","Maurice Ffrench","LAC","7","","","","182","182.0"
"223","","Noah Brown","DAL","7","","","","183","183.0"
"224","","Nick Westbrook-Ikhine","TEN","13","","","","185","185.0"
"225","","Phillip Dorsett II","HOU","10","","","","186","186.0"
"226","","Bradley Marquez","","","","187","187.0"
"227","","Tavarres King","","","","188","188.0"
"228","","Markus Wheaton","","","","189","189.0"
"229","","Dez Stewart","","","","190","190.0"
"230","","Ryan Spadola","","","","191","191.0"
"231","","Terrelle Pryor Sr.","","","","193","193.0"
"232","","Andy Jones","NYG","10","","","","194","194.0"
"233","","Lil'Jordan Humphrey","NO","6","","","","195","195.0"
"234","","Jaelon Acklin","","","","196","196.0"
"235","","Easop Winston Jr.","NO","6","","","","197","197.0"
"236","","Trevor Davis","","","","198","198.0"
"237","","Dazz Newsome","CHI","10","","","","199","199.0"
"238","","Rishard Matthews","","","","200","200.0"
"239","","Sergio Bailey II","","","","202","202.0"
"240","","Spencer Schnell","","","","204","204.0"
"241","","Larry Fitzgerald","","","","205","205.0"
"242","","Darrius Shepherd","","","","210","210.0"
"243","","Jauan Jennings","SF","6","","","","211","211.0"
"244","","Michael Rector","","","","212","212.0"
"245","","Mason Kinsey","TEN","13","","","","213","213.0"
"246","","Mathew Sexton","","","","214","214.0"
"247","","Stanley Morgan Jr.","CIN","10","","","","215","215.0"
"248","","Donte Sylencieux","BAL","8","","","","216","216.0"
"249","","Alonzo Russell","","","","218","218.0"
"250","","Demarcus Robinson","KC","12","","","","219","219.0"
"251","","Elijah Marks","","","","221","221.0"
